name,address,website,tel
The Honeybee Bakery,"48 Station Rd, Glasgow, G62 8AB",/customerneeds/sendenquiry/sendtoone/100040482654000080?searchedLocation=Glasgow,0141 611 1163
Costa Coffee,"Lower Ground Level, Buchanan Galleries, Glasgow, G1 2GF",http://www.costa.co.uk,0141 332 8930
Starbucks Coffee Co (Uk) Ltd,"Unit 15 1st floor, Buchanan Galleries, Buchanan St, Glasgow, G1 3JN",http://www.starbucks.co.uk,0141 333 9187
Greggs,"UB6, Glasgow, G34 9DL",http://www.greggs.co.uk,0141 771 2276
Caffe Nero,"Unit 4, Level 3 Buchanan Galleries, Glasgow, G2 3GF",http://www.caffenero.com,0141 332 0385
Greggs,"U3 Buchanan Bus Station, Glasgow, G2 3NW",http://www.greggs.co.uk,0141 332 2363
Fame Glasgow Ltd,"127 Hope St, Glasgow, G2 6PE",,0141 258 3838
Cafe Select,"Buchanan Street, GLASGOW, G1 2GF",,0141 354 0092
AMPM,"Buchanan Bus Station, Killermont St, Glasgow, G2 3NW",,0141 258 5356
Coffee Republic,"7 Renfrew Street, GLASGOW, G2 3AB",http://www.coffeerepublic.co.uk,0141 353 2898
Fuel Juice Bar,"Buchanan Street, GLASGOW, G1 2FF",http://www.fueljuicebars.com,0141 332 3652
AMT Coffee Ltd,"Queen Street Railway Station, Dundas St, Glasgow, G1 2AF",http://www.amtcoffee.co.uk,0141 353 0565
Learning Cafe,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,
Pret,"34 Sauchiehall St, Glasgow, G2 3AH",http://www.pret.co.uk,0141 333 9647
Starbucks Coffee Co (UK) Ltd,"27 Sauchiehall St, Glasgow, G2 3AT",http://www.starbucks.co.uk,0141 332 7852
Greggs,"U5/6 Level 2, Glasgow, G1 2GF",http://www.greggs.co.uk,0141 332 6614
Cafe Daizy Delicious,"Buchanan Street, GLASGOW, G1 2GF",,
Coffee Republic,"7 Renfrew Street, GLASGOW, G2 3AB",http://www.coffeerepublic.co.uk,0141 353 2898
Laboratorio Espresso,"93 West Nile Street, GLASGOW, G1 2PR",,0141 353 1111
Pret a Manger,"34 Sauchiehall St, Glasgow, G2 3AH",http://www.pret.co.uk,020 7827 8000
John Lewis Espresso Bar,"Buchanan Street, GLASGOW, G1 2FF",http://www.johnlewis.com,0844 693 1741
Coffee Republic,"75 West Nile St, Glasgow, G1 2SH",https://coffeerepublic.co.uk,0141 332 0080
Cafe Roots,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,
Tinderbox (Scotland) Ltd,"185 Buchanan St, Glasgow, G1 2JZ",,0141 353 3833
Caffe Nero,"106 Union St, Glasgow, G1 3QW",http://www.caffenero.com,0141 248 1960
Caffe Nero,"1a Dundas St, Glasgow, G1 2AH",http://www.caffenero.com,0141 353 2229
Food Fillas on the Corner Ltd,"87 Renfield St, Glasgow, G2 1LP",,0141 353 1911
The Wild Olive Tree,"163 Buchanan St, Glasgow, G1 2JX",http://www.wildolivetree.co.uk,0141 248 2049
Cafe Wander,"110 West George St, Glasgow, G2 1QJ",http://www.cafewander.com,0141 353 3968
The Willow Tea Rooms,"97 Buchanan St, Glasgow, G2 3EX",http://www.willowtearooms.co.uk,0141 204 5242
Greggs,"162 Buchanan St, Glasgow, G1 2LW",http://www.greggs.co.uk,0141 332 9542
Kimble's,"Unit 335 St Enoch Centre, 55, St Enoch Square, Glasgow, G1 4BW",,0141 611 2280
City Patio,"53 West Nile Street, GLASGOW, G1 2QB",,0141 248 6639
Starbucks Coffee Co (UK) Ltd,"Glasgow West Nile St, 58 Nelson Mandela Square, Glasgow, G1 2NP",http://www.starbucks.co.uk,0141 221 0302
Costa,"44 George Square, GLASGOW, G2 1DS",http://www.costa.co.uk,
Starbucks Coffee Co (UK) Ltd,"136-140 Buchanan St, Glasgow, G1 2JA",http://www.starbucks.co.uk,0141 221 8348
Cafe Chique,"140 Sauchiehall Street, GLASGOW, G2 3DH",,0141 332 9495
Costa Coffee,"Unit 1 George House, 50 George Square, Glasgow, G2 1EH",http://www.costa.co.uk,0141 552 0448
Costa,"50 George Square, GLASGOW, G2 1EG",http://www.costa.co.uk,
Patisserie Valerie,"West Nile St, Glasgow, G1 2PS",http://www.patisserie-valerie.co.uk/glasgow-west-nile.aspx,0141 204 3807
Greggs,"64 Gordon St, Glasgow, G1 3RS",http://www.greggs.co.uk,0141 204 2101
Costa Coffee,"Royal Exchange Square, Glasgow, G1 3AB",http://www.costa.co.uk,0141 229 0773
Chatime,"131 Sauchiehall St, Glasgow, G2 3EW",,07986 008021
Pret,"144-146 Queen St, Glasgow, G1 3BS",http://www.pret.co.uk,0141 221 7602
Pret,"104 St Vincent St, Glasgow, G2 5UB",http://www.pret.co.uk,020 7932 5315
Costa Coffee,"67 St. Vincent St, Glasgow, G2 5TF",http://www.costa.co.uk,0141 847 0710
La Sandwicherie,"59 Port Dundas Rd, Glasgow, G4 0HF",,0141 353 3853
Where the Monkey Sleeps,"182 West Regent St, Glasgow, G2 4RU",http://www.monkeysleeps.com,0141 226 3406
Starbucks Coffee,"90 John Street, GLASGOW, G1 1JH",http://www.starbucks.co.uk,
Greggs,"13 George Square, Glasgow, G2 1DY",http://www.greggs.co.uk,0141 221 0950
The Wee Guy's,"51-53 Cochrane Street, GLASGOW, G1 1HL",,0141 552 5338
Eat,"Unit 2 Buchanon Galleries, Glasgow, G2 3GF",http://www.eat.co.uk,0141 353 6584
Bj's Diner,"140 Sauchiehall Street, GLASGOW, G2 3DH",,0141 331 0212
Riverhill,"24 Gordon St, Glasgow, G1 3PU",,0141 204 4762
iCafe Management Ltd,"315-317 Sauchiehall St, Glasgow, G2 3HW",http://www.icafe.uk.com,0141 353 1553
Greggs,"28 West Nile St, Glasgow, G1 2PF",http://www.greggs.co.uk,0141 221 6224
Kcal Kitchen,"130 West Regent Street, GLASGOW, G2 2RQ",http://www.kcalkitchen.co.uk,
Cranberrys Cafe,"30 Wilson St, Glasgow, G1 1SS",,0141 552 3676
Caffe Nero,"Unit 3, 78, Queen St, Glasgow, G1 3DN",http://www.caffenero.com,0141 222 2450
Starbucks Coffee Co (UK) Ltd,"9 Exchange Place, Glasgow, G1 3AN",http://www.starbucks.co.uk,0141 881 9425
Costa Coffee,"212 Sauchiehall St, Glasgow, G2 3EF",http://www.costa.co.uk,0141 352 9825
Chapter House Cafe,"24-28 Bothwell Street, GLASGOW, G2 6NU",,
Cochrane Street Snack Bar Ltd,"51 Cochrane St, Glasgow, G1 1HL",http://www.facebook.com/theweeguys,0141 552 5338
Starbucks Coffee,"Queen Street, GLASGOW, G1 2AG",http://www.starbucks.co.uk,0141 333 9419
The Project Cafe,"Fleming House, 134, Renfrew St, Glasgow, G3 6ST",http://www.theprojectcafe.co.uk,0141 332 9520
Shakeaway,"26 Gordon Street, GLASGOW, G1 3PW",,0141 204 5459
Caffe Calla,"222 West George St, Glasgow, G2 2PQ",http://caffecalla.co.uk,0141 229 2222
Tinderbox Espresso Bar,"Unit 10-11 Princes Square, 48, Buchanan St, Glasgow, G1 3JN",https://tinderboxespresso.com/espresso-bars/,0141 221 5557
Cafe Bombon,"Buchanan Street, GLASGOW, G1 3JN",,0141 248 6257
Unity Spoon,"46 Trongate, Glasgow, G1 5ES",http://www.unity-enterprise.com,0141 559 5515
The Tea Rooms,"151 Bath St, Glasgow, G2 4SQ",http://www.thebutterflyandthepig.com,0141 243 2459
Cranachan Ltd,"Princes Square Buchanan St, Glasgow, G1 3JN",http://www.cranachancafe.co.uk,0141 248 6257
Caffe Nero,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.com,0141 332 4590
The Willow Tea Rooms,"217 Sauchiehall St, Glasgow, G2 3EX",http://www.willowtearooms.co.uk,0141 332 0521
The Bucket List,"65 Cambridge St, Glasgow, G3 6QX",,0141 261 2842
MAHD Ltd,"19 Kennedy Path, Glasgow, G4 0PP",,07477 488436
Greggs,"U24 Sauchiehall St, Glasgow, G2 3ER",http://www.greggs.co.uk,0141 353 2075
Greggs,"100 George St, Glasgow, G1 1RF",http://www.greggs.co.uk,0141 548 6796
Pret,"27 Gordon St, Glasgow, G1 3PL",http://www.pret.co.uk,0141 847 0449
Geek Retreat,"63 Union St, Glasgow, G1 3RB",http://www.geek-retreat.com,0141 611 8229
Caffe Nero,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.com,0141 248 6895
Maracas Cafe,"59 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,
Maragas Cafe,"65-67 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,
McDonald's Bakers,"71 Union St, Glasgow, G1 3TA",,0141 248 5090
The Bucket List Cafe,"59 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,0141 261 2842
Greggs,"19 Cambridge St, Glasgow, G2 3DX",http://www.greggs.co.uk,0141 332 4493
Azzurro Cafe & Desserts,"81 Cambridge Street, Kelvingrove, GLASGOW, G3 6RU",,0141 237 2202
Caffe Nero,"House Of Fraser 45 Buchanan St, Glasgow, G1 3HL",http://www.caffenero.com,0141 221 2411
Gulliver's,"59 Cambridge Street, Kelvingrove, GLASGOW, G3 6QX",,0141 230 3248
Gordon Street Coffee,"Glasgow Central Station, 79, Gordon St, Glasgow, G1 3SL",http://www.gordonstcoffee.co.uk,0141 221 1367
Deli Central,"50 Hope Street, GLASGOW, G2 6AE",,0141 240 3700
Tiffany's,"33 Glassford Street, GLASGOW, G1 1UG",,0141 548 1340
The Tinder Box,"Mcintyre Hogg Building, Unit 4 Ingram St, Glasgow, G1 1EJ",https://tinderboxespresso.com/espresso-bars/,0141 552 6907
Starbucks,"Glasgow Central Station, 1, Gordon St, Glasgow, G1 3SL",http://www.starbucks.co.uk,0141 204 3497
Piece,"14 Waterloo Street, GLASGOW, G2 6DB",,
Cup Glasgow Ltd,"Unit 4, 35, Virginia St, Glasgow, G1 1TN",http://www.cuptearooms.co.uk,0141 553 2326
Piece Cafe,"200 Albion Street, GLASGOW, G1 1RU",,
Spitfire Espresso,"127 Candleriggs, GLASGOW, G1 1NP",http://www.spitfireespresso.com,
Picnic,"103 Ingram Street, GLASGOW, G1 1DX",,
Patisserie Valerie,"Unit 26, Caledonia Centre, Central Station, Glasgow, G1 3SQ",http://www.patisserie-valerie.co.uk,0141 204 3808
Costa Coffee,"50 Bothwell St, Glasgow, G2 6HR",http://www.costa.co.uk,0141 221 2096
Tiffany's,"33 Glassford Street, Glasgow, G1 1UG",,0141548 1340
Caffe Nero,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.com,0141 222 2372
Delice de France,"Central Railway Station, Gordon St, Glasgow, G1 3PL",http://www.delicedefrance.co.uk,0141 229 1062
Picnic,"103 Ingram Street, Glasgow, G1 1DX",,0141552 8788
Smile Cafe Central,"121 Douglas Street, GLASGOW, G2 4HF",,0141 387 8184
Cup Tea Rooms,"43 Virginia Street, GLASGOW, G1 3JN",http://www.cuptearooms.co.uk,0141 553 2326
Tim Hortons,"96 George Street, GLASGOW, G1 1RF",http://www.timhortons.com/us/en/index.php,
Starbucks,"33 Bothwell St, Glasgow, G2 6NL",http://www.starbucks.com,0141 221 4461
Starbucks Coffee Co (UK) Ltd,"St Enoch Centre, Glasgow, G1 4BW",http://www.starbucks.co.uk,0333 005 0449
Buff Low Cafe,"146 Bath Lane, Glasgow, G2 4RH",,0141328 4053
Cafe Milano,"58 West Campbell Street, Glasgow, G2 6PZ",,0141229 0130
Wilson Street Pantry,"6 Wilson St, Glasgow, G1 1SS",http://www.wilsonstreetpantry.com,0141 552 0606
Caffe Nero,"63 Argyle St Fermanagh, Glasgow, G2 8AH",http://www.caffenero.com,0141 221 0924
Cafe Sono,"245 Argyle Street, GLASGOW, G2 8DL",,0141 221 3582
Costa Coffee,"Unit 4-5, Caledonia Centre, Central Station, Glasgow, G1 3SQ",http://www.costa.co.uk,0141 221 1471
Costa At Debenhams,"Debenhams 97 Argyle St, Glasgow, G2 8AR",http://www.costa.co.uk,0141 847 0629
Greggs,"172 Argyle St, Glasgow, G2 8BU",http://www.greggs.co.uk,0141 221 0252
Greggs,"55 St. Enoch Square, Glasgow, G1 4BW",http://www.greggs.co.uk,0141 248 9284
Greggs,"279 Sauchiehall St, Glasgow, G2 3HQ",http://www.greggs.co.uk,0141 332 8983
Bunteas,"138 Saltmarket, Townhead, GLASGOW, G1 5LB",,0141 552 3619
Ble Coffee Stories,"1st floor St. Enoch Centre 55, St. Enoch Square, Glasgow, G1 4BW",http://blecoffeestories.co.uk,0141 248 6196
Elazig Ltd,"Argyle Street, Glasgow, G2 8DL",,0141 221 3582
CCA Cafe Bar,"350 Sauchiehall St, Glasgow, G2 3JD",http://www.cca-glasgow.com,0141 332 7959
Caffe Nero,"63 Argyle Street, GLASGOW, G2 8AH",,0141 221 0924
Noah Branching Out Ltd,"86 Albion Street, Glasgow, G1 1NY",,0141552 3044
Zumo Juice Bar,"St Enoch Square, GLASGOW, G1 4BW",,
Jules,"328 Argyle St, Glasgow, G2 8LY",http://www.julescafe.co.uk,0141 248 1551
AL Sham Nights Cafe,"213 Gallowgate, Townhead, GLASGOW, G1 5DX",,
Deelicious Geelicious,"273 Sauchiehall Street, GLASGOW, G2 3HQ",,0141 353 3901
Caffe Nero,"The Ticket Office, St. Enoch's Square, Glasgow, G1 4BW",http://www.caffenero.com,0141 248 8838
Costa Coffee,"Unit 233 St. Enoch Centre 55, St. Enoch Square, Glasgow, G1 4BW",http://www.costa.co.uk,0141 248 6796
Cafe Cossachok,"10 King Street, Glasgow, G1 5QP",,0141553 0733
St Mungo Museum Of Religious Life & Art,"2 Castle St, Glasgow, G4 0RH",http://www.glasgowmuseums.com,0141 276 1625
Cafe Napoli,"23 Stockwell Street, GLASGOW, G1 4RZ",,0141 378 1411
Triple Two Coffee,"23 Stockwell St, Glasgow, G1 4RZ",http://www.tripletwocoffee.com/ourlocations/glasgow/,0141 552 2014
McCune Smith,"3-5 Duke St, Glasgow, G4 0UL",http://www.mccunesmith.co.uk,0141 548 1114
Papercup,"274 High Street, Cowcaddens, GLASGOW, G4 0QT",http://www.papercupcoffee.co.uk,07719 454376
College Lands Cafe,"220 High St, Glasgow, G4 0QW",,0141 287 9868
Primal Roast Ltd,"278 St Vincent St, Glasgow, G2 5RL",http://www.278coffeehouse.co.uk/home,0141 222 2750
Purrple Cat Cafe,"2 Trongate, Glasgow, G1 5ES",http://www.purrplecatcafe.com,0141 552 6429
All That is Coffee,"60 Osborne St, Glasgow, G1 5QH",http://www.allthatissolid.co.uk,0141 271 4777
Lettuce Eat Coffee Bar,"361 Argyle Street, Glasgow, G2 8LT",,0141221 3233
Mega Bytes,"169 Howard Street, GLASGOW, G1 4HF",,
Rose & Grants,"27 Trongate, Glasgow, G1 5EZ",http://www.roseandgrants.co.uk,0141 553 0501
Once Upon a Tart,"45-50 King Street, Townhead, GLASGOW, G1 5RA",,
Tinderbox Expresso Bars,"114-116 Waterloo Street, GLASGOW, G2 7DN",https://tinderboxespresso.com/espresso-bars/,
Up on the Hill,"Craighall Business Park 2b, Eagle St, Glasgow, G4 9XA",,0141 333 0303
Trans Europe Cafe,"25 Parnie St, Glasgow, G1 5RJ",http://www.transeuropecafe.co.uk,0141 552 7999
The Criterion Cafe,"46 Gallowgate, Townhead, GLASGOW, G1 5AB",,0141 552 2567
Javajess,"52 Broomielaw, Glasgow, G1 4QN",,0141258 1511
Central Cafe,"27 Saltmarket, Glasgow, G1 5NA",,0141 552 1719
Sneakers,"73-77 Trongate, Townhead, GLASGOW, G1 5HB",,0141 230 0683
Caffe Nero,"Capella Atlantic Quay 60 York St, Glasgow, G2 8JX",http://www.caffenero.com,0141 221 2735
R & D's Cafe,"125 Bridgegate, Townhead, GLASGOW, G1 5HY",,07528 143567
Singl-End Cafe,"265 Renfrew St, Glasgow, G3 6TT",http://www.thesingl-end.co.uk,0141 353 1277
The Coffee Pod,"40-42 Woodlands Rd, Glasgow, G3 6UR",http://www.beanscene.com,0141 352 9800
Java Jess,"50 Broomielaw, GLASGOW, G1 4RJ",,0141 258 1511
Caffe Nero,"St Vincent Plaza, 319 St Vincent St, Glasgow, G2 6LL",http://www.caffenero.com,0141 249 9832
Aikman's Cafe Bistro,"24 St. Andrews St, Glasgow, G1 5PD",,0141 552 9333
Wisdom Coffee,"Elmbank Gardens, GLASGOW, G2 4NQ",,0141 221 1995
Cafe La Padella,"124 Woodlands Rd, Glasgow, G3 6HB",,0141 332 6104
Ti Tea Lounge Within Hilton Glasgow,"1 William Street, Glasgow, G3 8HT",,0141204 5506
Elmbank Express,"63 Elmbank St, Glasgow, G2 4PQ",,0141 333 1427
The Willows,"125 Bridgegate, Townhead, GLASGOW, G1 5HY",,07891 251963
Alice Coffee & Bakehouse,"161 Gallowgate, Townhead, GLASGOW, G1 5AX",,
Tinder Box,"22-26 Charing Cross Mansions, St Georges Road, Glasgow, G3 6UJ",,0141258 3540
Starbucks Coffee Co (UK) Ltd,"10 St Georges Rd, Charing Cross Mansions, Glasgow, G3 6UJ",http://www.starbucks.co.uk,0141 332 7852
Grassroots Cafe,"20-22 Woodlands Road, Kelvingrove, GLASGOW, G3 6UR",,
Creative East End,"200 Gallowgate, Glasgow, G1 5DR",http://www.creativeeastend.com,0141 552 2501
Bocadillo Coffee Shop,"569 Sauchiehall St, Glasgow, G3 7PQ",http://www.bocadillo.co.uk,0141 221 0069
Coffee Time,"93-97 St Georges Road, Glasgow, G3 6JA",,0141237 4515
Soul Food Sisters,"202 Gallowgate, Townhead, GLASGOW, G1 5DS",,
The Pantry,"163 London Road, Townhead, GLASGOW, G1 5BX",,
Coffee Time,"93-97 St Georges Road, Kelvingrove, GLASGOW, G3 6JA",,0141 237 4515
The Mews,"99 Woodside Place Lane, Glasgow, G3 7RB",,0141 237 2981
Sip 'N' Scoop,"326 St Georges Road, Kelvingrove, GLASGOW, G3 6JR",,
Charing Cross Cafe,"531 Sauchiehall St, Glasgow, G3 7PQ",,0141 237 8320
Mimis Kitchen,"93-97, St. Georges Rd, Glasgow, G3 6JA",,0141 237 4515
Rawnchy,"58 Maryhill Road, GLASGOW, G20 7QB",,
Tinderbox Expresso Bars,"20-22 St Georges Road, Kelvingrove, GLASGOW, G3 6UJ",https://tinderboxespresso.com/espresso-bars/,0141 258 3540
Willow Grove Coffee,"531 Sauchiehall Street, Charing Cross, GLASGOW, G3 7PQ",,0141 237 3490
Paul N Kal Cafe'N Catering,"48 Clarendon Place, Glasgow, G20 7PZ",,0141 332 5996
Gesso,"20-22 St Georges Road, Kelvingrove, GLASGOW, G3 6UJ",,0141 258 3540
Rumbling Tum,"14 Bain St, Glasgow, G40 2LA",,0141 552 5150
West End Cafe,"51 Woodlands Road, Kelvingrove, GLASGOW, G3 6ED",,
Mandys Diner,"239 London Road, GLASGOW, G40 1PE",,07928 428274
Adelphi Tria Cafe,"The Adelphi Centre, 12, Commercial Rd, Glasgow, G5 0PQ",,0141 429 7795
Morrisons Cafe,"5 Barrack St Gallowgate, Glasgow, G4 0TZ",http://www.morrisons.com,0141 553 1516
Ottoman Coffeehouse,"73 Berkeley St, Glasgow, G3 7DX",http://www.ottomancoffeehouse.co.uk,07768 312417
Doghouse Boutique,"91-93 Great Western Road, Port Dundas, GLASGOW, G4 9AH",,
